session	leopard_id	occasion	trapid
1	LKLG33	9	KG650
1	LKLG33	19	KG590
1	LKLG33	53	KG632
1	LKLG34	12	KG608
1	LKLG35	33	KG617
1	LKLG35	53	KG617
1	LKLG35	58	KG617
1	LKLG36	43	KG657
1	LKLG36	50	KG626
1	LKLG37	25	KG610
1	LKLG37	47	KG610
1	LKLG37	53	KG632
1	LKLG37	55	KG632
1	LKLG38	34	KG352
1	LKLG38	35	KG389
1	LKLG38	46	KG352
1	LKLG38	47	KG389
1	LKLG38	49	KG388
1	LKLG38	61	KG353
1	LKLG39	5	KG662
1	LKLG39	11	KG650
1	LKLG39	12	KG632
1	LKLG39	43	KG632
1	LKLG39	55	KG650
1	LKLG39	55	KG632
1	LKLG39	56	KG662
1	LKLG3	29	KG400
1	LKLG3	62	KG436
1	LKLG40	15	KG686
1	LKLG40	29	KG643
1	LKLG40	32	KG667
1	LKLG40	39	KG657
1	LKLG40	41	KG657
1	LKLG40	46	KG643
1	LKLG40	49	KG665
1	LKLG40	56	KG657
1	LKLG40	58	KG657
1	LKLG41	7	KG646
1	LKLG41	9	KG645
1	LKLG41	25	KG645
1	LKLG41	43	KG645
1	LKLG42	15	KG653
1	LKLG42	22	KG653
1	LKLG44	49	KG665
1	LKLG44	58	KG667
1	LKLG45	58	KG670
1	LKLG45	58	KG665
1	LKLG46	13	KG687
1	LKLG46	20	KG680
1	LKLG46	21	KG687
1	LKLG46	24	KG678
1	LKLG46	36	KG679
1	LKLG46	50	KG679
1	LKLG47	54	KG704
1	LKLG48	47	KG704
1	LKLG48	54	KG704
1	LKLG48	57	KG706
1	LKLG49	15	KG706
1	LKLG49	16	KG706
1	LKLG4	29	KG402
1	LKLG4	30	KG402
1	LKLG4	32	KG401
1	LKLG4	32	KG402
1	LKLG50	33	KG322
1	LKLG51	26	KG706
1	LKLG51	60	KG706
1	LKLG52	21	KG617
1	LKLG53	46	KG236
1	LKLG54	29	KG384
1	LKLG55	51	KG503
1	LKLG56	6	KG463
1	LKLG56	9	KG418
1	LKLG56	9	KG425
1	LKLG56	18	KG425
1	LKLG56	18	KG387
1	LKLG56	20	KG463
1	LKLG56	25	KG501
1	LKLG56	30	KG501
1	LKLG56	31	KG501
1	LKLG57	42	KG655
1	LKLG58	16	KG391
1	LKLG58	23	KG390
1	LKLG58	23	KG392
1	LKLG58	33	KG430
1	LKLG58	37	KG430
1	LKLG58	53	KG430
1	LKLG58	54	KG390
1	LKLG58	61	KG390
1	LKLG59	17	KG624
1	LKLG5	2	KG418
1	LKLG5	3	KG418
1	LKLG5	11	KG463
1	LKLG5	18	KG425
1	LKLG5	20	KG463
1	LKLG5	27	KG501
1	LKLG5	62	KG501
1	LKLG60	60	KG402
1	LKLG61	58	KG426
1	LKLG62	39	KG449
1	LKLG63	48	KG477
1	LKLG64	59	KG543
1	LKLG66	31	KG648
1	LKLG68	42	KG653
1	LKLG69	25	KG653
1	LKLG6	23	KG461
1	LKLG6	34	KG423
1	LKLG6	40	KG461
1	LKLG70	18	KG662
1	LKLG72	46	KG691
1	LKLG73	15	KG704
1	LKLG73	38	KG704
1	LKLG76	55	KG617
1	LKLG78	15	KG617
1	CorbKal_8	39	KG423
1	LKLG80	43	KG589
1	LKLG80	45	KG589
1	LKLG81	23	KG384
1	LKLG82	37	KG384
1	LKLG83	32	KG438
1	LKLG84	24	KG468
1	LKLG86	17	KG562
1	LKLG87	39	KG580
1	LKLG88	26	KG655
1	LKLG89	13	KG701
1	LKLG8	5	KG427
1	LKLG8	17	KG502
1	LKLG8	18	KG465
1	LKLG8	29	KG465
1	LKLG8	29	KG503
1	LKLG8	38	KG465
1	LKLG8	38	KG503
1	LKLG8	41	KG502
1	LKLG8	44	KG425
1	LKLG8	44	KG424
1	LKLG8	47	KG502
1	LKLG8	47	KG465
1	LKLG8	54	KG502
1	LKLG8	58	KG501
1	LKLG8	59	KG465
1	LKLG90	15	KG478
1	LKLG90	50	KG513
1	LKLG98	9	KG534
1	LKLG98	11	KG534
1	LKLG98	14	KG498
1	LKLG98	15	KG534
1	LKLG98	16	KG564
1	LKLG98	17	KG565
1	LKLG98	18	KG534
1	LKLG98	21	KG533
1	LKLG98	23	KG497
1	LKLG98	25	KG534
1	LKLG98	31	KG534
1	LKLG98	35	KG534
1	LKLG98	37	KG534
1	LKLG98	41	KG533
1	LKLG98	41	KG497
1	LKLG98	43	KG534
1	LKLG98	48	KG534
1	LKLG98	53	KG497
1	LKLG98	56	KG534
1	LKLG98	57	KG534
1	LKLG98	57	KG498
1	LKLG98	58	KG534
1	LKLG98	58	KG497
1	LKLG9	2	KG323
1	LKLG9	8	KG323
1	LKLG9	15	KG290
1	LKLG9	17	KG290
1	LKLG9	19	KG290
1	LKLG9	22	KG290
1	LKLG9	40	KG323
1	LKLG9	55	KG290
