Y,X,CODE
9.43922321866,76.95236302230,P1
9.43461633651,76.95172383380,P2
9.45532401179,76.96766129400,A1
9.43597222222,76.96661111110,A2
9.43234384132,76.97036519520,P3
9.45705063201,76.98294188290,A3
9.44250000000,76.98333333330,P4
9.42861111111,76.98444444440,P5
9.47258333333,77.00277777780,A4
9.46908333333,77.00140000000,A5
9.44417799921,76.99178737880,P6
9.42525000000,76.99338888890,P7
9.47882223235,77.00860391780,A6
9.45622357580,77.00918522310,A7
9.44194444444,77.01527777780,P8
9.42694215110,77.02490372700,P9
9.41018027839,77.02515372420,P10
9.49258333333,77.03694444440,A8
9.47597222222,77.03200000000,A9
9.46472222222,77.03027777780,P11
9.44583333333,77.03916666670,P12
9.42361111111,77.03722222220,P13
9.40972222222,77.03283888890,P14
9.49561111111,77.06213888890,A10
9.47400000000,77.05788888890,A11
9.46650000000,77.05144444440,A12
9.43753696399,77.04562381060,P15
9.42250000000,77.06166666670,P16
9.41655253000,77.06011500260,P17
9.49477777778,77.07327777780,A13
9.47319444444,77.06283333330,A14
9.45866666667,77.07727777780,A15
9.43680128586,77.07169984870,P18
9.42763888889,77.06930555560,P19
9.41680277778,77.07594444440,P20
9.50936111111,77.08605555560,A16
9.49600000000,77.08830555560,A17
9.48591666667,77.09566666670,A18
9.46113888889,77.08225000000,A19
9.44922222222,77.08294444440,P21
9.43491278645,77.08325000000,P22
9.40902777778,77.08764722220,P23
9.39852657437,77.09653688150,P24
9.54075631994,77.11070171070,V1
9.51369444444,77.11050000000,A20
9.49813888889,77.10719444440,A21
9.47916666667,77.11347222220,A22
9.47083269311,77.11485654730,P25
9.45306354709,77.09973805120,P26
9.41901148657,77.11449802620,P27
9.41375000000,77.11556944440,P28
9.39856282506,77.11531836800,P29
9.56383333333,77.12519444440,V2
9.54725000000,77.13088888890,V3
9.53563685935,77.11982640570,V4
9.51827270937,77.13247972640,V5
9.50083333333,77.12622222220,V6
9.48461388889,77.12612777780,P30
9.47001957889,77.12420624630,P31
9.45241624648,77.13406365800,P32
9.41838333333,77.11994722220,P33
9.41450833333,77.13354722220,P34
9.39014923936,77.13354689010,P35
9.37188694878,77.13348889860,P36
9.35658285690,77.13394917200,P37
9.58444444444,77.14694444440,T1
9.56472222222,77.14888888890,T2
9.54602777778,77.14722222220,V7
9.53739661297,77.14909822720,V8
9.51994444444,77.13916666670,V9
9.50766666667,77.13555555560,V10
9.47279444444,77.13996388890,P38
9.46013888889,77.13850000000,P39
9.45055555556,77.14805555560,P40
9.42553912533,77.15185176990,P41
9.41281944444,77.14643611110,P42
9.39473888889,77.14030555560,P43
9.37920277778,77.15213611110,P44
9.36187600146,77.14557107640,P45
9.59916364518,77.16269436250,T3
9.58222222222,77.16305555560,T4
9.57805555556,77.15666666670,T5
9.56126143714,77.16694706580,T6
9.53756666667,77.15312283150,T7
9.50886042961,77.16123577040,V11
9.49641666667,77.15750000000,V12
9.47300084002,77.16075873660,V13
9.46154898441,77.16137824530,V14
9.45105555556,77.16552777780,V15
9.36972777778,77.15456944440,P46
9.60453077480,77.18007095080,T8
9.58877777778,77.18500000000,T9
9.56307664877,77.18615451930,T10
9.55515826067,77.18347829860,T11
9.53663148394,77.17993679950,T12
9.51700000000,77.18377777780,V16
9.50633333333,77.18886111110,V17
9.47301981323,77.17212014320,V18
9.45472222222,77.18416666670,V19
9.44083333333,77.18055555560,V20
9.40205555556,77.18263888890,V21
9.39369444444,77.18772222220,V22
9.37447222222,77.17575000000,V23
9.60569320646,77.20263200630,T13
9.59044444444,77.19838888890,T14
9.57277777778,77.20416666670,T15
9.55888888889,77.20416666670,T16
9.51055555556,77.20055555560,V24
9.50138888889,77.19785000000,V25
9.48608333333,77.19908333330,V26
9.45493633925,77.19695867240,V27
9.43919444444,77.19888888890,V28
9.41772222222,77.19547222220,V29
9.40325000000,77.20441666670,V30
9.38680555556,77.20513888890,V31
9.37957724077,77.20587286920,V32
9.35481419175,77.19718337190,V33
9.34147061978,77.19314844850,V34
9.32691490066,77.19237343830,V35
9.58444444444,77.21444444440,T17
9.57666666667,77.21583333330,T18
9.55148611111,77.21729722220,T19
9.53786892692,77.21624098310,T20
9.51947222222,77.21747222220,V36
9.49769444444,77.21969444440,V37
9.48305833333,77.22275000000,V38
9.47033333333,77.22016666670,V39
9.44812910304,77.22399591740,V40
9.43177777778,77.21544444440,V41
9.40147222222,77.20800000000,V42
9.39255555556,77.20800000000,V43
9.38127777778,77.21086111110,V44
9.35847222222,77.21311111110,V45
9.34375000000,77.21941666670,V46
9.32511111111,77.21408333330,V47
9.56722222222,77.24277777780,T21
9.54700000000,77.23297222220,T22
9.52837127221,77.24280353150,T23
9.51109749257,77.22745159840,V48
9.49050000000,77.22619444440,V49
9.47902777778,77.23386111110,V50
9.46991666667,77.23469444440,V51
9.44569166667,77.23340555560,V52
9.42786111111,77.23470833330,V53
9.41555555556,77.24055555560,PR1
9.39852777778,77.22847222220,V54
9.36975000000,77.23269444440,V55
9.35944444444,77.23205555560,V56
9.34138888889,77.22861111110,V57
9.31155555556,77.23130555560,PR2
9.30191666667,77.24111111110,PR3
9.57111111111,77.25611111110,T24
9.54522222222,77.24866666670,T25
9.53283333333,77.25294444440,T26
9.51658888889,77.25652777780,V58
9.50589675891,77.24636440480,V59
9.48475000000,77.25972222220,V60
9.46055555556,77.25944444440,PR4
9.45000000000,77.25111111110,PR5
9.43166666667,77.25694444440,PR6
9.40788888889,77.24980555560,PR7
9.39222222222,77.25861111110,PR8
9.38138888889,77.25472222220,PR9
